nombredepartamento,nombremunicipio,nombreestablecimiento,direccion
NORTE DE SANTANDER,CÚCUTA,COLEGIO PEDAGÓGICO FRANCISCO PRATO,AV 5 B 5 42
NARIÑO,SAN LORENZO,I.E. SANTA MARTHA,CORREGIMIENTO SANTA MARTHA
CALDAS,MANIZALES,JARDIN SOCIAL BOSQUES DEL NORTE,CL 48 G 15 35
CALDAS,SAMANÁ,INSTITUCION EDUCATIVA BERLIN,CORREGIMIENTO DE BERLIN
CAUCA,FLORENCIA,I.E. EL ROSARIO,CORREGIMIENTO EL ROSARIO
NARIÑO,LOS ANDES,CENTRO EDUCATIVO SAN MARTIN,VEREDA EL PIGALTAL
ANTIOQUIA,CONCORDIA,INSTITUTO DE EDUCACIÓN COMFENALCO  CONSUELO MONTOYA GIL ,HACIENDA CUNDINA
NARIÑO,SAN LORENZO,CENTRO EDUCATIVO MADROÑERO,CORREGIMIENTO SALINAS
VALLE DEL CAUCA,BUENAVENTURA,CENTRO DOCENTE SANTIAGO APOSTOL,CL 11 KR 67
LA GUAJIRA,RIOHACHA,COLEGIO LA ESPERANZA,CLL 12 NO.1C-112
SANTANDER,FLORIDABLANCA,COLEGIO CRECER Y APRENDER,KR 8 27 04
VALLE DEL CAUCA,CALI,LICEO SANTA CATALINA LABOURE,KR 30 27 44
RISARALDA,PEREIRA,IE LA VILLA,IND AV 30 DE AGOSTO FRENTE AL AREOPUERTO
ATLÁNTICO,BARRANQUILLA,PREESCOLAR PRINCIPE CARLOS,CL 82 42 G 34
CESAR,VALLEDUPAR,INST. MARCO FIDEL SUAREZ,KR 6 19 B 67
BOYACÁ,CHIQUINQUIRÁ,COL TIRSO GARCIA,KR 5 4 26
VALLE DEL CAUCA,CALI,ESTABLECIMIENTO EDUCATIVO EL CARRUSEL DEL SABER,IND CL 72C 3BN 51
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMNASIO MAYOR DE OCCIDENTE,CL 67 B BIS 111 23
META,GRANADA,COLEGIO PUIQUI,CRA 11N° 15 60
CUNDINAMARCA,FUNZA,INSTITUTO PEDAGOGICO DE INTEGRACION LORENZO FILHO                               ,CL 13 8 37
META,ACACÍAS,IE ESCUELA NORMAL SUPERIOR DE ACACIAS,CL 14 21 32
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC PSICOPEDAG SENDEROS DEL CONOCIMIENTO                                                            ,CL 32 BIS 17 26 SUR
NARIÑO,EL PEÑOL,CENTRO EDUCATIVO HUMERO,EL PEÑOL
ANTIOQUIA,TÁMESIS,INSTITUTO CODESARROLLO,IND VDA. LA ARGENTINA
ANTIOQUIA,BELLO,INST CORFERRINI,KR 53 51 28
ANTIOQUIA,MEDELLÍN,CENT EDUC SAGRADO NINO,KR 22 47 12
NARIÑO,CUMBAL,CENTRO EDUCATIVO EL CHILCO,VEREDA EL CHILCO
SANTANDER,FLORIDABLANCA,CENTRO EDUCATIVO CON AMOR PARA LOS NIÑOS,KR 13 200 290
ANTIOQUIA,ENVIGADO,COMFAMA                                                     ,CLL 35 SUR N.41- 45
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF EL MUNDO TRAVIESO DE LAS ARDILLAS                                                          ,CL 30 7 A 13 SUR
ATLÁNTICO,BARRANQUILLA,COLEGIO CENTRO CUTURAL DEL ATLANTICO,KR 23 B 65 B 64
NARIÑO,TANGUA,CENTRO EDUCATIVO NIÑO JESUS DE PRAGA (PALIZADA),VDA. LA PALIZADA
QUINDIO,CALARCA,RAFAEL URIBE URIBE,IND CIUDADELA EDUC DEL SUR
VALLE DEL CAUCA,CALI,CENTRO DE ESTUDIOS E INVESTIGACIÓN VIDA CEVIDA,IND CL 5 A 23 11 / 13
SUCRE,SINCELEJO,LICEO MANUEL DEL SOCORRO RODRIGUEZ,KR 14 33 96
VAUPÉS,MITÚ,I.E.D. BOCAS DEL YI,VDA. BOCAS DEL YI
CÓRDOBA,MONTERÍA,COLEGIO HUMANISTA EDGAR HERNANDO SANCHEZ DUARTE,CL 25 5 18
BOYACÁ,CHIQUINQUIRÁ,GIMNASIO CAMPESTRE EL BOSQUE,CL 17 4 36
MAGDALENA,ARACATACA,JARDIN INFANTIL PICARDIA,KR 5 NRO 6 21
NARIÑO,SAN LORENZO,CENTRO EDUCATIVO LAS VEGAS,CORREGIMIENTO SALINAS
GUAVIARE,SAN JOSÉ DEL GUAVIARE,I.E. MANUELA BELTRAN,KR 18 10 72
BOLÍVAR,CARTAGENA,LIC. SAN JOSE,CL SANJOSE 29 04
ANTIOQUIA,ZARAGOZA,C. E. R. CORDERO ICACAL,VDA CORDERO ICACAL
VALLE DEL CAUCA,CALI,COLEGIO SIMON BOLIVAR,KR 1G NO. 69-27
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA JOSE ANTONIO GALAN,CL 41 3 11
NARIÑO,MOSQUERA,CENTRO EDUCATIVO PUEBLO NUEVO RIO PATIA,INSPECCION ATANASIO GIRARDOT
NARIÑO,SAN ANDRES DE TUMACO,IE. SANTA TERESITA,IND CALLE CALDAS
CÓRDOBA,LORICA,I.E. EL REMOLINO,CORREG EL REMOLINO
CUNDINAMARCA,FÚQUENE,INSTITUTO TECNICO COMERCIAL DE CAPELLANIA,INSPECCION CAPELLANIA-MUNICIPIO FUQUENE
NARIÑO,PUPIALES,INSTITUTO COLOMBIANO DE APRENDIZAJE  INCAP ,KR 3 6 28
CALDAS,MANZANARES,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL ROSARIO,CL 4 4 30
RISARALDA,PEREIRA,CORPORACIÓN EDUCATIVA PAULO FREIRE,IND BARRIO SAN FERNANDO  CIUDADELA CUBA  MANZANA 11 CASA 10
META,VILLAVICENCIO,COLEGIO SILVIA APONTE RODRIGUEZ,KR 7 ESTE CL 15 SUR
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARDÍN INFANTIL PATTY                                                                               ,CL 22 SUR 5 14
NARIÑO,ROBERTO PAYÁN,CENTRO EDUCATIVO CHILVI DORADO,RIO  TELEMBI
ANTIOQUIA,LA CEJA,POLITECNICO INTERAMERICANO,CL 19 22 27
SANTANDER,FLORIDABLANCA,INST INTEGD SAN BERNARDO,KR 41 105 07
VALLE DEL CAUCA,BUENAVENTURA,INSTITUCION EDUCATIVA RENACIENTES DEL PACIFICO INERPA,KR 56 A 5 94
VALLE DEL CAUCA,CALI,COLEGIO SAN IGNACIO DE LOYOLA,CARRERA 26 N°25-05
BOYACÁ,CHIQUINQUIRÁ,I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,KR 9 # 4 - 65 SUR
ANTIOQUIA,MEDELLÍN,CENT INF CASITA DE ILUSIONES,CL 12 A SUR 52 86
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA RAFAEL NAVIA VARON,CL 11 46 40
PUTUMAYO,VALLE DEL GUAMUEZ,CENT EDUC RUR LAS MALVINAS,VDA LAS MALVINAS
ATLÁNTICO,BARRANQUILLA,COLEGIO DIOS ES AMOR CDA,KR 3 D 52 B 77
ANTIOQUIA,SAN LUIS,I.E.R. EL PRODIGIO,CORREG. EL PRODIGIO
VALLE DEL CAUCA,YUMBO,COL,CR
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA PICHINDE,CGTO PICHINDE
SUCRE,SAN LUIS DE SINCÉ,INST FRANCISCO DE PAULA SANTANDER,KR 11 11 79
ANTIOQUIA,MEDELLÍN,JARD INF NI?A MARIA - CARLA CRISTINA,CR 33 NO 107B  26
LA GUAJIRA,ALBANIA,CENTRO EDUCATIVO LOS REMEDIOS,COR. DE LOS REMEDIOS
ATLÁNTICO,BARRANQUILLA,COLEGIO EDUCAR MIXTO,CL 38 B 1 H 05
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST SAN IGNACIO DE LOYOLA                                                                          ,KR 21 27 50 SUR
NARIÑO,ROBERTO PAYÁN,CENTRO EDUCATIVO PIRY PARAISO,VDA   PIRY PARAISO
CAQUETÁ,FLORENCIA,JUAN BAUTISTA MIGANI,CL 14 KR 16 EQ
NARIÑO,PASTO,COL PARA ADULTOS COMFAMILIAR DE NARIÑO ,IND KM 4 VIA  DOLORES
NORTE DE SANTANDER,CÚCUTA,COL REPUBLICA DE COLOMBIA SIGLO XXI,AV 5C NO 7-05
NARIÑO,BARBACOAS,CENTRO EDUCATIVO PIPALTA CAMPO ALEGRE,VDA. PIPALTA CAMPO ALEGRE
CAQUETÁ,SAN VICENTE DEL CAGUÁN,I.E. R. SANTO DOMINGO SAVIO,INSP TRES ESQUINAS
VALLE DEL CAUCA,CALI,LICEO VIGOTSKI,CALLE 13B Nº 48A-04
VALLE DEL CAUCA,YUMBO,IE ROSA ZARATE DE PEÑA,VDA RINCON DAPA
CAUCA,POPAYÁN,CENTRO EDUCATIVO CRECER SER,CL 70 B 7 B 3
VALLE DEL CAUCA,CALI,INSTITUTO BILINGUE AGORA,CL 3 122 59
CAUCA,SILVIA,I.E.T. AGROAMBIENTAL SEK BUVX FXIW LA GAITANA,VEREDA LOMA AMARILLA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC VIDA INFANTIL                                                                                   ,CL 57 A SUR 81 B 04
CALDAS,PÁCORA,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS,CORREGIMIENTO DE CASTILLA
SANTANDER,BUCARAMANGA,COL  MARIA AUXILIADORA                                                                              ,CL 37 13 26
CHOCÓ,BOJAYA,CE INDÍGENA DE CHANO,RIO CUIA
CUNDINAMARCA,CHÍA,GIMNASIO EL HONTANAR,IND KM 17 KR CENTRAL DEL NORTE
CAUCA,POPAYÁN,LICEO TECNICO SUPERIOR,CL 4 1 13
NORTE DE SANTANDER,BUCARASICA,CENT EDUC RUR SANTA RITA,VDA SANTA RITA
MAGDALENA,SANTA MARTA,INSTITUTO SAMARIO DEL SUR,KR 19 32 16
NARIÑO,SAN ANDRES DE TUMACO,JARDIN INFANTIL NTRA SRA DE LAS MERCEDES,IND CALLE ANTIOQUIA
ANTIOQUIA,TÁMESIS,I. E.  RURAL SANTIAGO ANGEL SANTAMARIA,CL 12  9-51
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,INSTITUCION EDUCATIVA DEPARTAMENTAL MARIANO SANTAMARIA,CARRERA 5 NO. 3-01 SANTANDERCITO
CAUCA,SILVIA,I.E. QUICHAYA,CORREGIMIENTO QUICHAYA
SANTANDER,LOS SANTOS,COLEGIO INTEGRADO  LOS SANTOS,KARRERA 6 Nº 5ª ¿ 63
META,VILLAVICENCIO,INSTITUCION EDUCATIVA COLEGIO JHON F. KENNEDY,KR 46 11 28
SUCRE,COROZAL,I.E. FRANCISCO JOSE DE CALDAS,CL 27 45 28
VALLE DEL CAUCA,CALI,LICEO PIGMALION,KR 27 B 78 A 11
CAUCA,SILVIA,I.E. LA CAMPANA,VEREDA LA CAMPANA
ATLÁNTICO,BARRANQUILLA,COLEGIO DIGROSMER,KR 42 65 37
TOLIMA,IBAGUÉ,LIC INF GRANDES IDEAS,MZA E CASA 9
VALLE DEL CAUCA,CALI,CENTRO EDUCATIVO CRISTIANO SION,IND CL 72L  T 28J 06
CESAR,PAILITAS,INST. EDU. JULIO CASTELLANOS,CRA. CENTRAL VIA B/MANGA INCORA
SANTANDER,CIMITARRA,INSTITUTO DE EDUCACION CARAREÑA                                                                     ,CARRERA 5  ENTRE CALLES 9 Y 10
BOLÍVAR,TURBACO,GIMNASIO LÚDICO PEDAGÓGICO HORIZONTES,CL 17 19 55
CUNDINAMARCA,SOACHA,INSTITUCION EDUCATIVA BUENOS AIRES,CL 42 51 57
HUILA,ALGECIRAS,COL ADVENTISTA DE ALGECIRAS,KR 7 2 08
SANTANDER,PIEDECUESTA,COLEGIO DOMINGO SAVIO                                                                               ,CL 5 15 F 39
MAGDALENA,SANTA MARTA,IED LAURA VICUNA,CRA 12 ESQ. 12-04
SANTANDER,BARRANCABERMEJA,COL SANTA TERESITA                                                                                  ,CL 48 22 102
ANTIOQUIA,MEDELLÍN,INST EDUC LORETO-GABRIELA GOMEZ CARVAJAL,KR 32 34 06
NARIÑO,CONTADERO,CENTRO EDUCATIVO CULANTRO,VEREDA EL CULANTRO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN AYUDARTE A CRECER,KR 58 131 34
BOLÍVAR,CARTAGENA,JARD. INF. MAGICAS SONRISAS,CL DE LOS BESOS 24 128
VALLE DEL CAUCA,GUACARÍ,COL SAN ROQUE,CLL 5 NO 4-04
CAQUETÁ,FLORENCIA,JARD INF SUEÑOS Y AVENTURAS,TV 6 7 23
META,VISTAHERMOSA,IE LOS CENTAUROS,BARRIO LA MACARENA
ARAUCA,TAME,INSTITUCION EDUCATIVA JOEL SIERRA,CENTRO POBLADO LAS MALVINAS
ANTIOQUIA,BETULIA,I. E. SAN JOSE,CL TOLIMA 19 34
CUNDINAMARCA,ANAPOIMA,INST. EDUC. JULIO CESAR SANCHEZ  SEDE 1,AVENIDA  DE LAS MERCEDES BARRIO  LIBERIA
NARIÑO,LINARES,CENTRO EDUCATIVO SAN MARTIN,INSPECCION EL MOTILON
CAQUETÁ,VALPARAÍSO,I.E.R. LA RICO KM 30,VDA LA RICO
VALLE DEL CAUCA,YUMBO,C.E. AMBIENTAL YUMBO,KR 6 CL 10 C 07
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL ESTRADA DE MARIA AUXILIADORA                                                                    ,KR 69 A 66 27
VALLE DEL CAUCA,ANSERMANUEVO,COL PARROQUIAL NUESTRA SEÑORA DE FÁTIMA,CL 5 5 72
VALLE DEL CAUCA,BUENAVENTURA,MI PEQUEÑO GENIO,IND CRISTOBAL COLON
MAGDALENA,SABANAS DE SAN ANGEL,CENTRO EDUCATIVO DEPARTAMENTAL FLORES DE MARIA,FLORES DE MARIA
VALLE DEL CAUCA,CALI,COLEGIO MANUELITA SAENZ,KR 1 C 69 76
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN CRUZ DE SAN JUAN                                                                               ,KR 61 175 31
VALLE DEL CAUCA,CALI,COLEGIO SANTA RITA DEL PEÑON,CL 7 OESTE 25 373
CÓRDOBA,SAHAGÚN,C.E. SAN FRANCISCO,SAN FRANCISCO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF MI CASITA DORADA                                                                           ,CL 83 A 115 47
SANTANDER,BUCARAMANGA,GIMNASIO  POPULAR COMUNEROS,KR 14 14 11
PUTUMAYO,PUERTO LEGUÍZAMO,C.E.R. SANTA MARIA,CASER SANTA MARIA
NARIÑO,EL TAMBO,CENTRO EDUCATIVO HUMITARO,VDA HUMITARO
CAUCA,MERCADERES,I.E. LOS SOMBRERILLOS,VEREDA SOMBRERILLOS
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LICEO MODERNO GRAN PARIS                                                                        ,CL 71 A SUR 85 52
ATLÁNTICO,BARRANQUILLA,ESCUELA JARDARDIN CORAZONCITOS,CL 46 10 A 26 SUR
BOYACÁ,ARCABUCO,I.E.T. ALEJANDRO DE HUMBOLDT,AV 3 # 9 - 46
NARIÑO,ARBOLEDA,CENTRO EDUCATIVO SAN PEDRO ALTO,VEREDA SAN PEDRO ALTO
META,VILLAVICENCIO,COLEGIO NUESTRA SEÑORA DEL CARMEN,KR 20 A 35 C 09
SUCRE,SAMPUÉS,CENTRO EDUCATIVO INDIGENA MEJOR ESQUINA,COMUNIDAD INDIGENA ESCOBAR ABAJO
VALLE DEL CAUCA,CALI,CORPORACIÓN EDUCATIVA INTEGRAL DEL VALLE,IND KR 31 6 37/49
CUNDINAMARCA,GIRARDOT,JARDIN PSICOPEDAGOGICO PEQUEÑOS TALENTOS,KR 7 A 29 26
CAUCA,TIMBÍO,INST EDUC CONC ESC GUILLERMO VALENCIA (ANTES SEDE INST EDUC CARLOS ALBAN),KR 18 CL 18 PQ PRINCIPAL
ATLÁNTICO,SOLEDAD,COLEGIO COMUNITARIO VILLA KATANGA,KR 22 D 58 82
NARIÑO,LA CRUZ,CENTRO EDUCATIVO COFRADIA,VDA COFRADIA
SANTANDER,BUCARAMANGA,GIMNASIO FEMENINO MANUELA BELTRAN,CL 39 22 32
CALDAS,MANIZALES,LICEO INF. TRAVESURAS,CL 67 11 172
ATLÁNTICO,MALAMBO,COLEGIO MIXTO MARIA AUXILIADORA,CL 18 28 30
SUCRE,SAN MARCOS,C.E. EL PITAL,CORREG EL PITAL
META,VILLAVICENCIO,CENT EDUC MAFALDA,CL 38 20 C 45
TOLIMA,IBAGUÉ,LICEO CAMPRESTRE SAN VALENTIN,MZA 28 CASA 13 COLOR LILA
CAUCA,PIENDAMÓ,INSTITUCION EDUCATIVA TECNICO TUNIA,CORREGIMIENTO DE TUNIA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN JUVENIL SANTA CATALINA                                                                         ,AC 68 69 80
NARIÑO,SAN ANDRES DE TUMACO,COL RAFAEL POMBO,BARRIO PASEO BOLIVAR
TOLIMA,IBAGUÉ,LICEO PEDAGÓGICO GRANDES EXPLORADORES,CL 54 7 C 57
CUNDINAMARCA,CHOCONTÁ,JARD INFANTIL COLORES Y TEMPERAS                            ,CLL 7 NO 3 57
ANTIOQUIA,MEDELLÍN,INST EDUC ALTAVISTA,CR 112# 17 -13
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC INF PURISIMA CONCEPCION DE MARIA,CLL. 33A NO.114-37
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST SAN FRANCISCO                                                                                  ,KR 21 66 50 SUR
ARAUCA,ARAUCA,INSTITUCION EDUCATIVA SIMON BOLIVAR,KR 20 29 25
VALLE DEL CAUCA,CALI,LIC. RAFAEL GARCIA HERREROS,CL 76 A 1 D 02
ATLÁNTICO,BARRANQUILLA,COLEGIO GUILLERMO CAREY,KR 66 74 123
NARIÑO,CHACHAGÜÍ,CENTRO EDUCATIVO HIGUERON,VEREDA DE SANCHEZ
HUILA,LA PLATA,INSTITUCION EDUCATIVA LAS ACACIAS,VDA LAS ACACIAS
ANTIOQUIA,PEÑOL,I. E. R. PALMIRA,VDA. PALMIRA
CALDAS,LA DORADA,INSTITUCION EDUCATIVA DORADA,KR 6 NRO 3 81
LA GUAJIRA,LA JAGUA DEL PILAR,CENTRO EDUCATIVO EL PLAN,CGTO DE EL PLAN
CUNDINAMARCA,TENJO,LIC PERPETUO SOCORRO                                        ,KR 2 6 56
ANTIOQUIA,BELLO,IE LA GABRIELA,CL 31 43 94
NORTE DE SANTANDER,CÚCUTA,COL MILIT GUSTAVO MATAMOROS D`COSTA,IND AV 7 NO 13-11CENTRO
CUNDINAMARCA,FUSAGASUGÁ,INSTITUCION EDUCATIVA MUNICIPAL TECNICO TEODORO AYA VILLAVECES,KR 6 CL 16
BOLÍVAR,CARTAGENA,CENTRO EDUCATIVO INTEGRAL APRENDER CON ALEGRIA,MZ 129 LT 17 PL 134 BR EL SOCORRO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC JEFFERSON                                                                                       ,KR 87 I 33 06 SUR
NARIÑO,TAMINANGO,INSTITUCION EDUCATIVA PEDRO DE ADRADA,CORREGIMIENTO DE GRANADA
CAUCA,PUERTO TEJADA,I.E. POLITECNICO LA MILAGROSA,CL 18 7 37
CUNDINAMARCA,FUSAGASUGÁ,INSTITUCION EDUCATIVA MUNICIPAL INST. TECNICO AGRICOLA VALSALICE,VDA USATHAMA KM 47
CUNDINAMARCA,TENJO,LICEO CAMPESTRE LEONARDO DA VINCI (COLEGIO CLUB DE ARTISTAS),KR 4 5 40
CASANARE,TRINIDAD,COLEGIO JOSE RAMON NONATO PEREZ,CL 6 2 24
BOLÍVAR,VILLANUEVA,I.E.T.A. DE VILLANUEVA,BARRIO EL CA¿O
META,VILLAVICENCIO,COLEGIO LUMBRERAS DEL FUTURO,CL 64 S 44 21
ATLÁNTICO,BARRANQUILLA,INSTITUCION EDUCATIVA DISTRITAL ESTHER DE PELAEZ,KR 54 49 09
NORTE DE SANTANDER,CONVENCIÓN,INSTITUCION EDUCATIVA PEDRO CARREÑO LEMUS,CORREG CARTAGENA
BOYACÁ,TUNJA,LICEO INFANTIL SAN GABRIEL,KR 10 A 59 57
CUNDINAMARCA,GIRARDOT,COLEGIO NUESTRA SEÑORA DEL PILAR,CL 20 10 74
ARAUCA,ARAUQUITA,CENTRO EDUCATIVO LA REINERA,INSPECCION REINERA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO ANIBAL FERNANDEZ DE SOTO (IED),KR 53 135 13
NARIÑO,LEIVA,CENTRO EDUCATIVO SAN FRANCISCO,VEREDA ARMEPALO
ATLÁNTICO,SOLEDAD,GIMNASIO EL GRAN MAESTRO,CR 18 NO 80B-07
CÓRDOBA,CIÉNAGA DE ORO,IE PIJIGUAYAL,CORREG PIJIGUAYAL
GUAVIARE,CALAMAR,C.E. INDÍGENA EL ITILLA,VDA. ITILLA
ARAUCA,SARAVENA,CENTRO EDUCATIVO MARCO FIDEL SUAREZ,VDA CUATRO ESQUINAS
CUNDINAMARCA,TENA,CENTRO CAMPESINO DE FORMACION NUESTRA SEÑORA DE LA ESPERANZA,VDA. CATALAMONTE KM 32.5 VIA BOGOTA LA MESA
NORTE DE SANTANDER,CÚCUTA,LIC PABLO VI,AV 5 6 28
ANTIOQUIA,MEDELLÍN,INST EDUC BENEDIKTA ZUR NIEDEN,CL 42 C 95 54
VALLE DEL CAUCA,YUMBO,IE CEAT GENERAL PIERO MARIOTTI,KR 7 NTE 3 88
ARAUCA,ARAUCA,INSTITUCION EDUCATIVA GENERAL  SANTANDER,AV AEROPUERTO 8 260
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL TRIANGULO CENTRO                                                                                ,KR 10 18 36 PI 2
ANTIOQUIA,MEDELLÍN,CENT DE EDUC EL ARCA,KR 35 1 52
SANTANDER,BUCARAMANGA,INST  ANDINO                                                                                        ,CL 37 13 75
VICHADA,CUMARIBO,C.E. INTERNADO TRES MATAS,INSP TRES MATAS
ANTIOQUIA,YONDÓ,C. E. R. CAÑO BLANCO,VDA. CAÑO BLANCO
SUCRE,SAN ONOFRE,INST EDUC RAFAEL NUÑEZ,CORREG SABANAS DE MUCACAL
BOLÍVAR,MAGANGUÉ,INST EDUC TEC AGROP CALIXTO DIAZ PALENCIA,CR 2 SE NO 1A 15
CESAR,AGUSTÍN CODAZZI,COLEGIO EL CORAZON DE MARIA,KR 18 15 59
ATLÁNTICO,BARRANQUILLA,COLEGIO DIVINO CORAZON,KR 7 80 43
SANTANDER,MOLAGAVITA,INSTITUTO TECNICO AGROINDUSTRIAL DE EDUCACION CAMPESINA                                             ,MOLAGAVITA
SANTANDER,PUERTO PARRA,INSTITUTO DE EDUCACIÓN RURAL SANTA MARÍA DEL CAMINO,CORREGIMIENTO CITE - VDA EL AMARILLO
CHOCÓ,BAJO BAUDÓ,CE SAN LORENZO DE ORPUA,ORPUA
NARIÑO,BARBACOAS,CENTRO EDUCATIVO ÑAMBI TORTUGAÑA,ÑAMBI TORTUGAÑA
NARIÑO,CÓRDOBA,CENTRO EDUCATIVO EL SALADO,VEREDA EL SALADO
CAUCA,EL TAMBO,I.E. LA PAZ,CORREGIMIENTO LA PAZ
NARIÑO,EL TAMBO,CENTRO EDUCATIVO CASCAJAL BAJO,VDA CASCAJAL BAJO
CAUCA,ARGELIA,C.E. LA LEONA,VDA. LA LEONA
ANTIOQUIA,SAN LUIS,I. E. SAN LUIS,CL 21 14 01
SUCRE,SANTIAGO DE TOLÚ,CENTRO EDUCATIVO NUEVA ERA,KM 9 - VIA A TOLU
PUTUMAYO,SAN MIGUEL,IER PUERTO EL SOL,VDA PUERTO EL SOL
VALLE DEL CAUCA,CALI,CORP EDUCATIVA ANTONIO MACEO,IND KR 11-1 # 65-04
CAUCA,MIRANDA,INST EDUC SANTA ANA,CORREGIMIENTO SANTA ANA
NORTE DE SANTANDER,CÚCUTA,COL HISPANOAMERICANO,CL 19 4 05 BR LA CABRERA
HUILA,NEIVA,OL GIMN TERESA DE CALCUTA ,CL 77 # 5-60
CALDAS,MANIZALES,HOGAR INF. FLORIDA BLANCA,KR 33 A 100 B 19
CUNDINAMARCA,TENA,INSTITUCION EDUCATIVA DEPARTAMENTAL FIDEL CANO,PERIMETRO URBANO
CÓRDOBA,COTORRA,CENT EDUC LAS AREPAS,CORREG. LAS AREPAS - CALLE PRINCIPAL
MAGDALENA,SANTA MARTA,INSTITUTO SANTIAGO MARQUEZ,CALLE 31 NO. 10-28
CUNDINAMARCA,GIRARDOT,I.E. TECNICA FRANCISCO MANZANERA HENRIQUEZ,IND KILOMETO 1 VIA A NARIÑO
RISARALDA,PEREIRA,PREESC CARITAS FELICES,FINCA LA PRADERA VARIANTE SUR SUR 
NARIÑO,POLICARPA,CENTRO EDUCATIVO SANTANDER,VEREDA SANTANDER
BOLÍVAR,CARTAGENA,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,KR 36 33 A 52
RISARALDA,PEREIRA,JARDÍN INFANTIL ALIBOMBO,KR 37 31 13
VALLE DEL CAUCA,CALI,FUNDACIÓN FECIM UN MUNDO DE SUEÑOS,IND DIAG. 71 A1 # 25 C-01
ATLÁNTICO,SOLEDAD,COLEGIO SAGRADA SABIDURIA,TV 41 45 237
NORTE DE SANTANDER,VILLA DEL ROSARIO,INSTITUCION EDUCATIVA PARA EL DESARROLLO ESTUDIANTIL Y PROFESIONAL INDEP,CLL 8 N 8-88
RISARALDA,PUEBLO RICO,INST AGRO PIO XII,CGTO SANTA CECILIA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL EL PARAISO                                                                                      ,CL 59 A BIS SUR 85 26
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL HARVARD                                                                                         ,CL 100 47 A 69
CUNDINAMARCA,ZIPAQUIRÁ,I.E.M. SANTIAGO PEREZ,CL 1 21 01
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC SAN LEON MAGNO                                                                                  ,CL 70 C 112 A 05
CESAR,VALLEDUPAR,COLEGIO TÉCNICO EMPRESARIAL UPARSISTEM,CL 16 A 12 36
CAUCA,POPAYÁN,COL BTO NOCT JOSE MARIA CORDOBA,CL 7 3 40
NARIÑO,LEIVA,CENTRO EDUCATIVO SANTA ELENA,VEREDA EL BOSQUE
CÓRDOBA,LORICA,IE LACIDES C. BERSAL,IND VIA CHINU
SUCRE,SINCELEJO,CENTRO DOCENTE SUMMERHILL,CL 25 39 05
ANTIOQUIA,SEGOVIA,C. E. R. MONTEFRIO,VDA. MONTEFRÍO
ANTIOQUIA,FRONTINO,C. E. R. CHUSCAL DE MURRI,VDA. CHUSCAL DE MURRI
ARAUCA,TAME,INSTITUCION EDUCATIVA PARMENIO BONILLA PAREDES,CENTRO POBLADO PUERTO NIDIA
ANTIOQUIA,FREDONIA,INSTITUTO CORFERRINI,KR 51 48 31
VALLE DEL CAUCA,CALI,LICEO NISSI,CL 71B # 1A4B-84
RISARALDA,PEREIRA,NUEVO LICEO MABELY,MZ 2 CS 5
NARIÑO,SAN ANDRES DE TUMACO,COLEGIO NUEVO HORIZONTE,CL NUEVA CREACION PARADA 14
SANTANDER,EL CARMEN DE CHUCURÍ,FUNDACION INSTITUTO CRISTIANO DE PROMOCION CAMPESINA                                                ,CALLE 15A NO. 18-09 BARRIO BUENOS AIRES
ANTIOQUIA,GIRARDOTA,I. E. ATANASIO GIRARDOT,CRA 17  11-51
HUILA,IQUIRA,IE MARIA AUXILIADORA,KR 9 # 6-30
CUNDINAMARCA,MOSQUERA,LICEO CAMPESTRE EL BOSQUE                                     ,CL 2 1 61
HUILA,IQUIRA,IE CRISTOBAL COLON,INSP RIO NEGRO
